"key","message","comment","context"
"Account No.",,,
"Address",,,
"Address Details",,,
"Addresses",,,
"All Invoices",,,
"All invoices",,,
"Bank",,,
"Bank Account",,,
"Bank Account Detail",,,
"Bank Account Details",,,
"Bank Accounts",,,
"Bank account",,,
"CGST",,,
"Cancelled",,,
"Cancelled Invoices",,,
"Category",,,
"Cities",,,
"City",,,
"City Details",,,
"Code",,,
"Companies",,,
"Company",,,
"Company Detail",,,
"Configuration",,,
"Contact",,,
"Contact Details",,,
"Contacts",,,
"Cost Price","Prix de revient",,
"Countries",,,
"Country",,,
"Create Invoice",,,
"Create invoice",,,
"Current",,,
"Customer",,,
"Customer Per State",,,
"Dashboard",,,
"DateInvoice",,,
"Details of Product",,,
"Draft",,,
"Draft Invoice",,,
"Draft invoices",,,
"GST",,,
"GST Rate",,,
"GST rate",,,
"GSTIN",,,
"Gross Amount",,,
"HSBN","HSBN",,
"IFSC",,,
"IGST",,,
"Image",,,
"Individual",,,
"Invoice",,,
"Invoice Address",,,
"Invoice Line",,,
"Invoice Line Detail",,,
"Invoice Lines",,,
"Invoice Per Customer",,,
"Invoices",,,
"Invoices Per Category Per Product",,,
"Invoices Per Status",,,
"Item",,,
"Line1",,,
"Line2",,,
"List of Account",,,
"List of Address",,,
"List of Contact",,,
"List of Invoice Items",,,
"Logo",,,
"Meta Model",,,
"Name","Nom",,
"Net Amount","Montant net",,
"Net CGST",,,
"Net IGST",,,
"Net SGST",,,
"Next Number",,,
"No of invoices Per status",,,
"Other",,,
"Padding",,,
"Paid",,,
"Paid invoices",,,
"Parties",,,
"Party",,,
"Party Cards",,,
"Party Contact",,,
"PinCode",,,
"Prefix",,,
"Price","Prix",,
"Primary",,,
"Primary Email",,,
"Primary Phone",,,
"Priority",,,
"Product","Produit",,
"Product Cards",,,
"Product Categories","Catégorie de produit",,
"Product Category Details","Catégorie de produit Détails",,
"Products","Produits",,
"Products Categories","Catégories de produits",,
"Qty",,,
"Reference","Référence",,
"SGST",,,
"Sale Price","prix de vente",,
"Saving",,,
"Secondary",,,
"Secondary Email",,,
"Secondary Phone",,,
"Sequence",,,
"Sequence is not generated for current model","La séquence n'est pas générée pour le modèle actuel",,
"Sequences",,,
"Shipping",,,
"Shipping Address",,,
"State",,,
"State Details",,,
"States",,,
"Status",,,
"Status value",,,
"Supplier",,,
"Type",,,
"Use Invoice address as shipping",,,
"Validate invoices",,,
"Validated",,,
"Validated invoices",,,
"default",,,
"fromDate",,,
"reference",,,
"suffix",,,
"toDate",,,
